slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
rg12a-il,AIRFOIL PROFILE12A 9.00%,8.99,1.80,YES,0.47,0.896
aquilasm-il,AQUILA 9.3% smoothed,9.38,4.05,no,0.03,0.233
arad10-il,ARA-D 10% AIRFOIL,10.00,3.99,YES,0.86,0.450
arad13-il,ARA-D 13% AIRFOIL,13.00,3.61,no,0.03,0.250
arad20-il,ARA-D 20% AIRFOIL,20.00,3.75,no,0.26,0.900
arad6-il,ARA-D 6% AIRFOIL,6.02,5.01,YES,2.93,0.500
as5045-il,AS5045 (15%),15.00,1.02,YES,1.27,0.811
as5046-il,AS5046 (16%),16.00,1.08,YES,1.04,0.808
as5048-il,AS5048 (18%),17.98,1.20,YES,0.63,0.805
august160-il,AUGUST 160,16.04,5.39,no,0.11,0.973
avistar-il,AVISTAR,14.52,2.19,no,0.10,0.908
apex16-il,Apex 16 (normalized using XFOIL date021206),12.92,2.66,YES,0.63,0.879
b29root-il,B-29 ROOT AIRFOIL,21.98,1.74,no,0.00,0.000
b29tip-il,B-29 TIP AIRFOIL,9.00,2.23,no,0.00,0.000
be50-il,BE50 (original),7.27,4.81,YES,2.14,0.550
be50sm-il,BE50 (smoothed),7.32,3.96,YES,2.04,0.569
b540ols-il,BELL 540 AIRFOIL (MODIFIED NACA 0012),9.71,0.00,no,0.00,0.909
fx69h083-il,BELL/WORTMANN FX 69-H-083 AIRFOIL,8.40,2.44,no,0.01,0.389
fx69h098-il,BELL/WORTMANN FX 69-H-098 AIRFOIL,9.89,1.74,no,0.00,0.000
boe103-il,BOEING 103 AIRFOIL,12.72,3.60,no,0.04,0.700
boe106-il,BOEING 106 AIRFOIL,13.06,3.34,no,0.00,0.000
b707a-il,BOEING 707 .08 SPAN AIRFOIL,11.43,1.30,no,0.05,0.780
b707b-il,BOEING 707 .19 SPAN AIRFOIL,12.14,0.74,no,0.00,0.000
b707c-il,BOEING 707 .40 SPAN AIRFOIL,9.58,1.90,no,0.12,0.250
b707d-il,BOEING 707 .54 SPAN AIRFOIL,8.97,2.00,no,0.01,0.900
b707e-il,BOEING 707 .99 SPAN AIRFOIL,9.01,1.78,no,0.01,0.800
b737b-il,BOEING 737 MIDSPAN AIRFOIL,12.55,1.55,no,0.04,0.931
b737c-il,BOEING 737 MIDSPAN AIRFOIL,10.00,1.45,no,0.04,0.935
b737d-il,BOEING 737 OUTBOARD AIRFOIL,10.80,1.57,no,0.05,0.900
b737a-il,BOEING 737 ROOT AIRFOIL,15.37,1.92,YES,0.35,0.832
bacj-il,BOEING AIRFOIL J (no closed TE),10.07,1.73,YES,1.38,0.860
bacxxx-il,BOEING BACXXX AIRFOIL,11.31,1.40,no,0.01,0.800
bacnlf-il,BOEING HSNLF AIRFOIL,10.08,1.40,YES,0.58,0.814
v13009-il,BOEING VERTOL V(1.95)3009-1.25 AIRFOIL,9.00,1.30,no,0.00,1.000
v13006-il,BOEING VERTOL V13006-.7 AIRFOIL,5.98,0.91,no,0.00,0.000
v43012-il,BOEING VERTOL V43012-1.58 AIRFOIL,12.04,3.67,no,0.03,0.210
v43015-il,BOEING VERTOL V43015-2.48 AIRFOIL,15.03,3.68,no,0.00,0.000
v23010-il,BOEING-VERTOL V23010-1.58 AIRFOIL,10.18,1.75,no,0.01,0.650
vr1-il,BOEING-VERTOL VR-1 AIRFOIL,10.97,1.53,no,0.05,0.946
vr11x-il,BOEING-VERTOL VR-11X AIRFOIL,10.97,2.42,no,0.00,0.000
vr12-il,BOEING-VERTOL VR-12 AIRFOIL,10.56,2.28,no,0.00,0.995
vr13-il,BOEING-VERTOL VR-13 AIRFOIL,9.45,2.04,no,0.00,0.000
vr14-il,BOEING-VERTOL VR-14 AIRFOIL,7.96,1.72,no,0.00,0.000
vr15-il,BOEING-VERTOL VR-15 AIRFOIL,7.96,1.29,no,0.00,0.000
vr5-il,BOEING-VERTOL VR-5 AIRFOIL,12.00,3.40,YES,0.32,0.890
vr7-il,BOEING-VERTOL VR-7 AIRFOIL,12.03,3.12,no,0.01,0.770
vr7b-il,BOEING-VERTOL VR-7 AIRFOIL WITH TAB,12.03,3.12,no,0.27,0.935
vr8-il,BOEING-VERTOL VR-8 AIRFOIL,8.15,1.27,no,0.08,0.965
vr8b-il,BOEING-VERTOL VR-8 AIRFOIL WITH TAB,8.15,1.27,no,0.00,0.700
vr9-il,BOEING-VERTOL VR-9 AIRFOIL,6.06,0.33,no,0.00,0.980
