Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-89.0,4.0,114.30032182783344,-1.7345582088551623,857.2230997738961,49.87354992221437,-247.491077612092,-3.6116355947555583
-89.0,5.0,114.3600026909292,-2.153605600953256,858.5030665455702,63.10992347190761,-248.5797919745421,-4.654340884797975
-89.0,6.0,114.4123664231756,-2.61433192489298,859.822889084271,76.23759236815029,-249.7593158200368,-5.629175234926741
-89.0,7.0,114.45866162785155,-3.1536239535124224,861.1255396340796,89.04266044555287,-250.9965246539184,-6.544359451129353
-89.0,8.0,114.49257038165295,-3.814578063477896,862.3340010076232,101.31608826357925,-252.24606510851345,-7.424502396792281
-89.0,9.0,114.50281573169386,-4.638400010945617,863.361819292115,112.87702128565648,-253.45697787935975,-8.301516514627814
-89.0,10.0,114.47661283252144,-5.657696449629398,864.1262082475139,123.59522880703932,-254.58017866134796,-9.206373564981352
-89.0,11.0,114.4034268131246,-6.891316197986882,864.5623799083269,133.41123590984046,-255.5758116674824,-10.162808243574307
-89.0,12.0,114.27802932052656,-8.3414367341163,864.6348808562218,142.34691527130795,-256.4188274328234,-11.184543407173454
-89.0,13.0,114.10198941857342,-9.99486471519701,864.3421274039966,150.49717922474795,-257.10139341678934,-12.277684575139157
-89.0,14.0,113.88381661986436,-11.826452143299887,863.7161268635963,158.01264715246114,-257.6331039682526,-13.445490849845932
-89.0,15.0,113.63787569733596,-13.803068244103793,862.8186953949687,165.079883456123,-258.03992333554345,-14.691470193565753
-89.0,16.0,113.3817510815156,-15.888240204570408,861.7329141083427,171.89626442879393,-258.3617476097388,-16.01796911504017
-89.0,17.0,113.1322937672616,-18.04752917300901,860.5506565065705,178.6390675234556,-258.6487570366961,-17.420772774974555
-89.0,18.0,112.90153735271748,-20.25428177246809,859.3591650483613,185.4332001354909,-258.95708713869624,-18.882800226624063
-89.0,19.0,112.69535503480498,-22.49361399514844,858.2319099400758,192.337226187419,-259.3442159899332,-20.374679577364944
-89.0,20.0,112.51592763240409,-24.763266289378905,857.2257013491337,199.35739830715065,-259.8642422296758,-21.86533376456931
-89.0,21.0,112.36507092392304,-27.07293346350319,856.379709397983,206.46899459779547,-260.56329673081365,-23.333906099546844
-89.0,22.0,112.24606623385084,-29.44128298092233,855.715797684228,213.63291370836305,-261.47615877990484,-24.77673888065152
