Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,-62.0,71.52728122802496,127.34402808298891,554.3710378400009,-274.55598451048365,-204.520467087814,86.17670664042814
-90.0,-61.0,73.53465369432627,126.26098231494056,574.3413891645968,-278.67511616473377,-211.3625368749186,86.88130818818286
-90.0,-60.0,75.47270916035585,124.87168188330752,593.6564684280016,-282.33501054983145,-217.87835798806012,87.29161515167947
-90.0,-59.0,77.32682914941253,123.20081398341904,612.1912400668317,-285.739359552408,-224.0698471674434,87.41970202548369
-90.0,-58.0,79.08444639309502,121.2903845251038,629.8353203597508,-289.06382607953645,-229.9427572582072,87.2644597318023
-90.0,-57.0,80.73635023678304,119.19244957085176,646.501570600854,-292.43685420361675,-235.50432018070453,86.81697545675232
-90.0,-56.0,82.27729900302566,116.96080188767156,662.1295650378356,-295.9336901871994,-240.75979461632735,86.06979388457057
-90.0,-55.0,83.70682329272928,114.64415839795711,676.6877909151807,-299.5792572521588,-245.70987393060108,85.02483052127684
-90.0,-54.0,85.02996859159772,112.28133357506752,690.1763997071018,-303.3539987084696,-250.350123209941,83.69802906171073
-90.0,-53.0,86.25776822497821,109.89807015290452,702.6318843771897,-307.1959656069457,-254.6732017542098,82.11893725658179
-90.0,-52.0,87.4074757857542,107.50537427154262,714.1325858859005,-310.9988893932047,-258.6733684600111,80.32550807135524
-90.0,-51.0,88.50284346975194,105.10046319522854,724.8009316344217,-314.61611853699753,-262.351352705021,78.35748459068796
-90.0,-50.0,89.57482093520039,102.67189484378008,734.7978906582462,-317.88294290738605,-265.7173122598109,76.25236357012447
-90.0,-49.0,90.66268809209294,100.20788392807938,744.3080297824049,-320.659476146165,-268.79057451088204,74.04563101764603
-90.0,-48.0,91.8125636520443,97.7014760238418,753.5188539349266,-322.8638590536076,-271.5968536536832,71.77182831446731
-90.0,-47.0,93.0707890898858,95.14853581467648,762.5992824210077,-324.46893822555586,-274.1642821651446,69.46289435165406
-90.0,-46.0,94.47593444450676,92.5442688008911,771.6775649744261,-325.4885370128497,-276.5182157665081,67.14690562201558
-90.0,-45.0,96.05041410351004,89.8827668725028,780.8194788185541,-325.9621130889203,-278.675176003542,64.84823896512462
-90.0,-44.0,97.79154874208172,87.16133195314607,790.0077173921547,-325.93874680280254,-280.6364055245493,62.58919359450882
